,rank,name,net_worth (in billion $),age,country / territory,source,industry,"('age', 'net_worth (in billion $)')"
595,591.0,Hank Meijer & family,4.6,71.0,United States,Supermarkets,Fashion & Retail,71.0
596,591.0,Bert Beveridge,4.6,61.0,United States,Vodka,Food & Beverage,61.0
597,591.0,Xue Min,4.6,66.0,China,Healthcare,Healthcare,66.0
598,591.0,Russ Weiner,4.6,52.0,United States,Energy drinks,Food & Beverage,52.0
599,591.0,Maximilian Viessmann,4.6,34.0,Germany,"Heating, cooling equipment",Manufacturing,34.0
600,591.0,Barry Sternlicht,4.6,62.0,United States,Private equity,Finance & Investments,62.0
601,591.0,Forrest Li,4.6,45.0,Singapore,Gaming,Media & Entertainment,45.0
602,591.0,Fred Smith,4.6,78.0,United States,FedEx,Logistics,78.0
603,591.0,Li Chunan,4.6,54.0,China,Renewable energy,Manufacturing,54.0
604,591.0,Issad Rebrab & family,4.6,79.0,Algeria,Food,Food & Beverage,79.0
605,591.0,Ronald Lauder,4.6,79.0,United States,Estee Lauder,Fashion & Retail,79.0
606,591.0,Mark Meijer & family,4.6,65.0,United States,Supermarkets,Fashion & Retail,65.0
607,591.0,Charles Dolan & family,4.6,96.0,United States,Cable television,Media & Entertainment,96.0
608,591.0,Mark Cuban,4.6,64.0,United States,"Online media, Dallas Mavericks",Media & Entertainment,64.0
609,591.0,Jack Dorsey,4.6,46.0,United States,"Twitter, Square",Technology,46.0
610,611.0,N.R. Narayana Murthy,4.5,76.0,India,Software services,Technology,76.0
611,611.0,Odd Reitan & family,4.5,71.0,Norway,"Retail, real estate",Fashion & Retail,71.0
612,611.0,Dietmar Hopp & family,4.5,82.0,Germany,Software,Technology,82.0
613,611.0,Juan Domingo Beckmann Legorreta & family,4.5,55.0,Mexico,Tequila,Food & Beverage,55.0
614,611.0,You Xiaoping,4.5,65.0,China,"Chemicals, spandex",Manufacturing,65.0
615,611.0,Samuel Yin,4.5,72.0,Taiwan,Retail,Diversified,72.0
616,611.0,Xu Jinfu,4.5,59.0,China,Chemicals,Manufacturing,59.0
617,611.0,David Velez & family,4.5,41.0,Colombia,Fintech,Finance & Investments,41.0
618,611.0,Hussain Sajwani,4.5,70.0,United Arab Emirates,Real estate,Real Estate,70.0
619,611.0,Marc Rowan,4.5,60.0,United States,Private equity,Finance & Investments,60.0
620,611.0,Joseph Liemandt,4.5,54.0,United States,Software,Technology,54.0
621,611.0,Jiang Bin,4.5,56.0,China,Acoustic components,Technology,56.0
622,611.0,Theo Mueller,4.5,83.0,Germany,Dairy,Food & Beverage,83.0
623,624.0,Christian Haub,4.4,58.0,Germany,Retail,Fashion & Retail,58.0
624,624.0,Mangal Prabhat Lodha,4.4,67.0,India,Real estate,Real Estate,67.0
625,624.0,Jeffrey Lurie & family,4.4,71.0,United States,Philadelphia Eagles,Sports,71.0
626,624.0,Neal Blue & family,4.4,88.0,United States,Defense,Manufacturing,88.0
627,624.0,Margot Birmingham Perot,4.4,89.0,United States,"Computer services, real estate",Technology,89.0
628,624.0,Stéphane Bancel,4.4,50.0,France,"Biotech, vaccines",Healthcare,50.0
629,624.0,Mikhail Shelkov,4.4,54.0,Russia,Titanium,Metals & Mining,54.0
630,624.0,Qian Dongqi & family,4.4,65.0,China,Home-cleaning robots,Manufacturing,65.0
631,624.0,Joe Mansueto,4.4,66.0,United States,Investment research,Finance & Investments,66.0
632,624.0,Rafael Del Pino,4.4,64.0,Spain,Construction,Construction & Engineering,64.0
633,624.0,Jim Davis,4.4,63.0,United States,Staffing & recruiting,Service,63.0
634,624.0,Peter Grogg,4.4,81.0,Switzerland,Biochemicals,Healthcare,81.0
635,636.0,Timur Kulibaev,4.3,56.0,Kazakhstan,Banking,Finance & Investments,56.0
636,636.0,Dinara Kulibaeva,4.3,55.0,Kazakhstan,Banking,Finance & Investments,55.0
637,636.0,Ian Livingstone,4.3,60.0,United Kingdom,Real estate,Real Estate,60.0
638,636.0,Johnelle Hunt,4.3,91.0,United States,Trucking,Logistics,91.0
639,636.0,Wang Junshi & family,4.3,74.0,China,Solar inverters,Manufacturing,74.0
640,636.0,Hu Kaijun,4.3,61.0,China,Pharmaceuticals,Healthcare,61.0
641,636.0,Frank Wang,4.3,42.0,China,Drones,Technology,42.0
642,636.0,Jose E. Feliciano,4.3,49.0,United States,Private equity,Finance & Investments,49.0
643,636.0,Richard Tsai,4.3,65.0,Taiwan,Finance,Finance & Investments,65.0
644,636.0,Juan Carlos Escotet,4.3,63.0,Venezuela,Banking,Finance & Investments,63.0
645,636.0,Daniel Tsai,4.3,66.0,Taiwan,Finance,Finance & Investments,66.0
646,636.0,Behdad Eghbali,4.3,46.0,United States,Private equity,Finance & Investments,46.0
647,636.0,Jon Stryker,4.3,64.0,United States,Medical equipment,Healthcare,64.0
648,636.0,Patrick Drahi,4.3,59.0,France,Telecom,Telecom,59.0
649,636.0,Pham Nhat Vuong,4.3,54.0,Vietnam,Diversified,Diversified,54.0
650,636.0,Jay Paul,4.3,75.0,United States,Real estate,Real Estate,75.0
651,636.0,Gwendolyn Sontheim Meyer,4.3,61.0,United States,Cargill,Food & Beverage,61.0
652,636.0,Richard Livingstone,4.3,58.0,United Kingdom,Real estate,Real Estate,58.0
653,636.0,Daryl Katz,4.3,61.0,Canada,Pharmacies,Diversified,61.0
654,636.0,Herbert Wertheim,4.3,83.0,United States,Investments,Finance & Investments,83.0
655,636.0,Marian Ilitch,4.3,90.0,United States,Little Caesars Pizza,Food & Beverage,90.0
656,636.0,Wang Wenjing,4.3,58.0,China,Business software,Technology,58.0
657,636.0,Andrei Kozitsyn,4.3,62.0,Russia,Metals,Metals & Mining,62.0
658,659.0,Pyotr Aven,4.2,68.0,Russia,"Oil, banking, telecom",Finance & Investments,68.0
659,659.0,Lynsi Snyder,4.2,40.0,United States,In-N-Out Burger,Food & Beverage,40.0
660,659.0,Chan Laiwa & family,4.2,82.0,China,Real estate,Real Estate,82.0
661,659.0,Djoko Susanto,4.2,73.0,Indonesia,Supermarkets,Fashion & Retail,73.0
662,659.0,Chen Hua,4.2,57.0,China,Real estate,Real Estate,57.0
663,659.0,Tahir & family,4.2,71.0,Indonesia,Diversified,Diversified,71.0
664,659.0,Michael Moritz,4.2,68.0,United States,Venture capital,Technology,68.0
665,659.0,Lin Li,4.2,59.0,China,Investments,Finance & Investments,59.0
666,659.0,Lin Bin,4.2,55.0,United States,Smartphones,Technology,55.0
667,659.0,Eric Lefkofsky,4.2,53.0,United States,"Groupon, investments",Technology,53.0
668,659.0,Marc Ladreit de Lacharriere,4.2,82.0,France,Finance,Finance & Investments,82.0
669,659.0,Min Kao & family,4.2,74.0,United States,Navigation equipment,Technology,74.0
670,659.0,Dewi Kam,4.2,72.0,Indonesia,Coal,Energy,72.0
671,659.0,"Rupert Johnson, Jr.",4.2,82.0,United States,Franklin Templeton,Finance & Investments,82.0
672,659.0,Thomas Hagen,4.2,87.0,United States,Insurance,Finance & Investments,87.0
673,659.0,Peter Thiel,4.2,55.0,United States,"Facebook, investments",Finance & Investments,55.0
674,659.0,E. Joe Shoen,4.2,73.0,United States,U-Haul,Automotive,73.0
675,659.0,Jean (Gigi) Pritzker,4.2,60.0,United States,"Hotels, investments",Service,60.0
676,659.0,Shari Arison,4.2,65.0,Israel,Carnival Cruises,Service,65.0
677,659.0,Jeff Skoll,4.2,58.0,United States,EBay,Technology,58.0
678,679.0,Mary Alice Dorrance Malone,4.1,73.0,United States,Campbell Soup,Food & Beverage,73.0
679,679.0,Joao Moreira Salles,4.1,61.0,Brazil,"Banking, minerals",Diversified,61.0
680,679.0,Walther Moreira Salles Junior,4.1,66.0,Brazil,"Banking, minerals",Finance & Investments,66.0
681,679.0,Antti Herlin,4.1,66.0,Finland,"Elevators, escalators",Manufacturing,66.0
682,679.0,Luca Garavoglia,4.1,54.0,Italy,Spirits,Food & Beverage,54.0
683,679.0,Scott Cook,4.1,70.0,United States,Software,Technology,70.0
684,679.0,John Catsimatidis,4.1,74.0,United States,"Oil, real estate",Energy,74.0
685,679.0,Liangzhi Xie & family,4.1,57.0,China,Biotech,Healthcare,57.0
686,679.0,Nick Caporella,4.1,87.0,United States,Beverages,Food & Beverage,87.0
687,679.0,Ken Xie,4.1,60.0,United States,Cybersecurity,Technology,60.0
688,679.0,Hubert Burda,4.1,83.0,Germany,Publishing,Media & Entertainment,83.0
689,679.0,Kerry Stokes,4.1,82.0,Australia,"Construction equipment, media",Diversified,82.0
690,679.0,Danielle Bellon & family,4.1,83.0,France,Food services,Service,83.0
691,679.0,Donald Sterling,4.1,88.0,United States,Real estate,Real Estate,88.0
692,679.0,Andrej Babis,4.1,68.0,Czech Republic,Agriculture,Food & Beverage,68.0
693,679.0,Peter Spuhler,4.1,63.0,Switzerland,Train cars,Manufacturing,63.0
694,679.0,Arturo Moreno,4.1,76.0,United States,"Billboards, Los Angeles Angels",Sports,76.0
695,679.0,"Jeremy Jacobs, Sr. & family",4.1,83.0,United States,Food service,Service,83.0
696,679.0,Hong Jie,4.1,55.0,China,Paint,Manufacturing,55.0
697,679.0,Igor Kesaev,4.1,56.0,Russia,"Tobacco distribution, retail",Fashion & Retail,56.0
698,699.0,Travis Kalanick,4.0,46.0,United States,Uber,Technology,46.0
699,699.0,Zhang Daocai,4.0,73.0,China,Valves,Diversified,73.0
700,699.0,Koon Poh Keong,4.0,61.0,Malaysia,Aluminum,Manufacturing,61.0
701,699.0,Dan Kurzius,4.0,51.0,United States,Email marketing,Technology,51.0
702,699.0,Elisabeth DeLuca & family,4.0,75.0,United States,Subway,Food & Beverage,75.0
703,699.0,Steven Spielberg,4.0,76.0,United States,Movies,Media & Entertainment,76.0
704,699.0,Ben Chestnut,4.0,48.0,United States,Email marketing,Technology,48.0
705,699.0,Shaul Shani,4.0,68.0,Israel,Telecom,Telecom,68.0
706,699.0,Sid Bass,4.0,80.0,United States,"Oil, investments",Energy,80.0
707,699.0,"Bernard Saul, II.",4.0,90.0,United States,"Banking, real estate",Finance & Investments,90.0
708,699.0,Isaac Perlmutter,4.0,80.0,United States,Marvel comics,Media & Entertainment,80.0
709,699.0,Rakesh Mittal,4.0,67.0,India,Telecom,Telecom,67.0
710,699.0,Rajan Mittal,4.0,63.0,India,Telecom,Telecom,63.0
711,699.0,Gail Miller,4.0,79.0,United States,Car dealerships,Automotive,79.0
712,699.0,Tobi Lutke,4.0,42.0,Canada,E-commerce,Technology,42.0
713,699.0,Paul Lee,4.0,65.0,United States,Battery separators,Manufacturing,65.0
714,699.0,Vinod Rai Gupta,4.0,77.0,India,Electrical equipment,Manufacturing,77.0
715,699.0,Torbjorn Tornqvist,4.0,69.0,Sweden,Oil trading,Energy,69.0
716,699.0,Guangchang Guo,4.0,56.0,China,Conglomerate,Diversified,56.0
717,699.0,Jerzy Starak,4.0,75.0,Poland,Pharmaceuticals,Healthcare,75.0
718,699.0,John Henry,4.0,73.0,United States,Sports,Sports,73.0
719,699.0,Rufino Vigil Gonzalez,4.0,74.0,Mexico,Steel,Metals & Mining,74.0
720,721.0,Fernando Roberto Moreira Salles,3.9,76.0,Brazil,"Banking, minerals",Diversified,76.0
721,721.0,Juergen Blickle,3.9,76.0,Germany,Auto parts,Manufacturing,76.0
722,721.0,Pedro Moreira Salles,3.9,63.0,Brazil,"Banking, minerals",Diversified,63.0
723,721.0,"Austen Cargill, II.",3.9,72.0,United States,Cargill,Food & Beverage,72.0
724,721.0,Gabe Newell,3.9,60.0,United States,Videogames,Gambling & Casinos,60.0
725,721.0,James Irsay,3.9,63.0,United States,Indianapolis Colts,Sports,63.0
726,721.0,Yu Renrong,3.9,57.0,China,Semiconductors,Manufacturing,57.0
727,721.0,W. Herbert Hunt,3.9,94.0,United States,Oil,Energy,94.0
728,721.0,Wu Yiling,3.9,73.0,China,Pharmaceuticals,Healthcare,73.0
729,721.0,Guenther Fielmann & family,3.9,83.0,Germany,Optometry,Healthcare,83.0
730,721.0,Nusli Wadia,3.9,79.0,India,Consumer goods,Food & Beverage,79.0
731,721.0,Giuseppe De'Longhi & family,3.9,83.0,Italy,Coffee makers,Fashion & Retail,83.0
732,721.0,Tsai Hong-tu,3.9,70.0,Taiwan,Finance,Finance & Investments,70.0
733,721.0,Kenneth Dart,3.9,67.0,Belize,Investments,Finance & Investments,67.0
734,721.0,Mark Stevens,3.9,63.0,United States,Venture capital,Finance & Investments,63.0
735,721.0,Mong-Koo Chung,3.9,85.0,South Korea,Hyundai,Automotive,85.0
736,721.0,Ruan Hongliang & family,3.9,62.0,China,Glass,Manufacturing,62.0
737,721.0,Dongsheng Chen,3.9,65.0,China,Insurance,Finance & Investments,65.0
738,721.0,Julia Oetker,3.9,44.0,Germany,Consumer goods,Fashion & Retail,44.0
739,721.0,Vanich Chaiyawan,3.9,91.0,Thailand,"Insurance, beverages",Finance & Investments,91.0
740,721.0,Carl Ferdinand Oetker,3.9,50.0,Germany,Consumer goods,Fashion & Retail,50.0
741,721.0,"James Cargill, II.",3.9,73.0,United States,Cargill,Food & Beverage,73.0
742,721.0,Alfred Oetker,3.9,56.0,Germany,Consumer goods,Fashion & Retail,56.0
743,721.0,Marianne Liebmann,3.9,69.0,United States,Cargill,Food & Beverage,69.0
744,721.0,Somurai Jaruphnit,3.9,65.0,Thailand,Diversified,Diversified,65.0
745,721.0,Zhu Baoguo & family,3.9,60.0,China,Pharmaceuticals,Healthcare,60.0
746,721.0,Jorge Moll Filho & family,3.9,78.0,Brazil,Hospitals,Healthcare,78.0
747,748.0,Barry Diller,3.8,81.0,United States,Online media,Media & Entertainment,81.0
748,748.0,Richard Uihlein,3.8,77.0,United States,Packaging materials,Manufacturing,77.0
749,748.0,Wesley Edens,3.8,61.0,United States,Investments,Finance & Investments,61.0
750,748.0,Stephen Feinberg,3.8,63.0,United States,Private equity,Finance & Investments,63.0
751,748.0,Su Qingcan,3.8,54.0,China,Healthcare,Healthcare,54.0
752,748.0,Yasumitsu Shigeta,3.8,58.0,Japan,Mobile phone retailer,Telecom,58.0
753,748.0,Trevor Rees-Jones,3.8,71.0,United States,Oil & gas,Energy,71.0
754,748.0,Chandru Raheja,3.8,82.0,India,Real estate,Real Estate,82.0
755,748.0,"H. Ross Perot, Jr.",3.8,64.0,United States,Real estate,Real Estate,64.0
756,748.0,Li Xiang,3.8,41.0,China,Electric vehicles,Automotive,41.0
757,748.0,Martha Ingram & family,3.8,87.0,United States,"Book distribution, transportation",Media & Entertainment,87.0
758,748.0,Joseph Grendys,3.8,61.0,United States,Poultry processing,Food & Beverage,61.0
759,748.0,Rakesh Gangwal,3.8,69.0,United States,Airline,Service,69.0
760,748.0,Rahul Bhatia,3.8,63.0,India,Aviation,Service,63.0
761,748.0,Steven Udvar-Hazy,3.8,77.0,United States,Aircraft leasing,Service,77.0
762,748.0,Tsai Cheng-ta,3.8,73.0,Taiwan,Finance,Finance & Investments,73.0
763,748.0,Francesco Gaetano Caltagirone,3.8,80.0,Italy,"Cement, diversified",Construction & Engineering,80.0
764,748.0,Elizabeth Uihlein,3.8,77.0,United States,Packaging materials,Manufacturing,77.0
765,766.0,Horst Paulmann & family,3.7,88.0,Chile,Retail,Fashion & Retail,88.0
766,766.0,Hayes Barnard,3.7,51.0,United States,Fintech,Finance & Investments,51.0
767,766.0,Anthony Pritzker,3.7,62.0,United States,"Hotels, investments",Service,62.0
768,766.0,William Berkley,3.7,76.0,United States,Insurance,Finance & Investments,76.0
769,766.0,John Sall,3.7,75.0,United States,Software,Technology,75.0
770,766.0,Mikhail Lomtadze,3.7,47.0,Georgia,Fintech,Finance & Investments,47.0
771,766.0,Richard LeFrak & family,3.7,77.0,United States,Real estate,Real Estate,77.0
772,766.0,Jim Kavanaugh,3.7,60.0,United States,IT provider,Technology,60.0
773,766.0,Jason Jiang,3.7,50.0,China,Advertising,Media & Entertainment,50.0
774,766.0,Ji Qi,3.7,56.0,China,"Hotels, motels",Real Estate,56.0
775,766.0,Brad Jacobs,3.7,66.0,United States,Logistics,Logistics,66.0
776,766.0,Wang Yanqing & family,3.7,56.0,China,Electrical equipment,Manufacturing,56.0
777,766.0,Huang Li,3.7,59.0,China,Imaging systems,Technology,59.0
778,766.0,Yitzhak Tshuva,3.7,74.0,Israel,Real estate,Real Estate,74.0
779,766.0,Yakir Gabay,3.7,56.0,Cyprus,Real estate,Real Estate,56.0
780,766.0,Richard Schulze,3.7,82.0,United States,Best Buy,Fashion & Retail,82.0
781,766.0,Charles Cohen,3.7,71.0,United States,Real estate,Real Estate,71.0
782,766.0,Howard Schultz,3.7,69.0,United States,Starbucks,Food & Beverage,69.0
783,766.0,Shigenobu Nagamori,3.7,78.0,Japan,Motors,Manufacturing,78.0
784,766.0,Tom Morris,3.7,68.0,United Kingdom,Retail,Fashion & Retail,68.0
785,766.0,Daniel Och,3.7,62.0,United States,Hedge funds,Finance & Investments,62.0
786,787.0,Pansy Ho,3.6,60.0,Hong Kong,Casinos,Gambling & Casinos,60.0
787,787.0,Samuel Tak Lee,3.6,83.0,Hong Kong,Real estate,Real Estate,83.0
788,787.0,Alan Howard,3.6,59.0,United Kingdom,Hedge funds,Finance & Investments,59.0
789,787.0,Edwin Leong,3.6,71.0,Hong Kong,Real estate,Real Estate,71.0
790,787.0,Zeng Fangqin,3.6,57.0,China,Smartphone components,Technology,57.0
791,787.0,Huang Yi,3.6,61.0,Hong Kong,Car dealerships,Automotive,61.0
792,787.0,"Stephen Mandel, Jr.",3.6,67.0,United States,Hedge funds,Finance & Investments,67.0
793,787.0,Zhang Jian,3.6,54.0,China,"Electric bikes, scooters",Manufacturing,54.0
794,787.0,Nicolas D'Ieteren,3.6,47.0,Belgium,"Auto parts, distribution",Automotive,47.0
795,787.0,Lawrence Stroll,3.6,63.0,Canada,Fashion investments,Fashion & Retail,63.0
796,787.0,Jim Coulter,3.6,63.0,United States,Private equity,Finance & Investments,63.0
797,787.0,Jerry Speyer,3.6,82.0,United States,Real estate,Real Estate,82.0
798,787.0,Leonid Boguslavsky,3.6,71.0,Canada,Venture capital,Finance & Investments,71.0
799,787.0,Juan Roig,3.6,73.0,Spain,Supermarkets,Fashion & Retail,73.0
800,787.0,Sanjiv Bajaj,3.6,53.0,India,Diversified,Diversified,53.0
801,787.0,J.B. Pritzker,3.6,58.0,United States,"Hotels, investments",Finance & Investments,58.0
802,787.0,Rajiv Bajaj,3.6,56.0,India,Diversified,Diversified,56.0
803,787.0,Melanie Perkins,3.6,35.0,Australia,Software,Technology,35.0
804,787.0,Cliff Obrecht,3.6,37.0,Australia,Software,Technology,37.0
805,787.0,Josh Kushner,3.6,37.0,United States,Venture capital,Finance & Investments,37.0
806,787.0,Masahiro Noda,3.6,84.0,Japan,Software,Technology,84.0
807,787.0,Vyacheslav Kim,3.6,53.0,Kazakhstan,Fintech,Finance & Investments,53.0
808,787.0,Masahiro Miki,3.6,67.0,Japan,Shoes,Fashion & Retail,67.0
809,787.0,Peter Kellogg,3.6,80.0,United States,Investments,Finance & Investments,80.0
810,787.0,Mohamed Mansour,3.6,75.0,Egypt,Diversified,Diversified,75.0
811,787.0,Bob Gaglardi,3.6,82.0,Canada,Hotels,Real Estate,82.0
812,787.0,Wang Junlin,3.6,60.0,China,Liquor,Food & Beverage,60.0
813,787.0,Beatriz Davila de Santo Domingo,3.6,84.0,Colombia,Beer,Food & Beverage,84.0
814,787.0,Tung Chee Chen,3.6,80.0,Hong Kong,Shipping,Logistics,80.0
815,787.0,Jaime Gilinski Bacal,3.6,65.0,Colombia,Banking,Finance & Investments,65.0
816,787.0,Xia Zuoquan,3.6,61.0,China,"Automobiles, batteries",Automotive,61.0
817,818.0,Fan Daidi,3.5,57.0,China,Skincare,Fashion & Retail,57.0
818,818.0,Thomas Siebel,3.5,70.0,United States,Business software,Technology,70.0
819,818.0,Peter Gassner,3.5,58.0,United States,Software,Technology,58.0
820,818.0,Wim van der Leegte & family,3.5,75.0,Netherlands,Manufacturing,Manufacturing,75.0
821,818.0,Mikhail Gutseriev,3.5,65.0,Russia,"Oil, coal, real estate",Energy,65.0
822,818.0,Xiao Yongming & family,3.5,58.0,China,Fertilizer,Diversified,58.0
823,818.0,Luca Del Vecchio,3.5,21.0,Italy,Eyeglasses,Fashion & Retail,21.0
824,818.0,Remo Ruffini,3.5,61.0,Italy,Winter jackets,Fashion & Retail,61.0
825,818.0,Leonardo Maria Del Vecchio,3.5,27.0,Italy,Eyeglasses,Fashion & Retail,27.0
826,818.0,Arkady Rotenberg,3.5,71.0,Russia,"Construction, pipes, banking",Construction & Engineering,71.0
827,818.0,Clemente Del Vecchio,3.5,18.0,Italy,Eyeglases,Fashion & Retail,18.0
828,818.0,Dirk Rossmann & family,3.5,76.0,Germany,Drugstores,Fashion & Retail,76.0
829,818.0,Claudio Del Vecchio,3.5,66.0,Italy,Eyeglasses,Fashion & Retail,66.0
830,818.0,Ira Rennert,3.5,88.0,United States,Investments,Finance & Investments,88.0
831,818.0,Daniel D'Aniello,3.5,76.0,United States,Private equity,Finance & Investments,76.0
832,818.0,Prasert Prasarttong-Osoth,3.5,90.0,Thailand,Hospitals,Healthcare,90.0
833,818.0,Giuseppe Crippa & family,3.5,87.0,Italy,Microchip testing,Manufacturing,87.0
834,818.0,Margarita Louis-Dreyfus & family,3.5,60.0,Switzerland,Commodities,Food & Beverage,60.0
835,818.0,Barry Zekelman,3.5,56.0,Canada,Steel,Manufacturing,56.0
836,818.0,Fashu Chen,3.5,62.0,China,Investments,Finance & Investments,62.0
837,818.0,Daniel Loeb,3.5,61.0,United States,Hedge funds,Finance & Investments,61.0
838,818.0,Nicoletta Zampillo,3.5,65.0,Italy,Eyeglasses,Fashion & Retail,65.0
839,818.0,Maurizio Billi,3.5,65.0,Brazil,Generic drugs,Healthcare,65.0
840,818.0,Leng Youbin,3.5,54.0,China,Infant formula,Food & Beverage,54.0
841,818.0,Yang Shaopeng,3.5,65.0,China,Shipping,Logistics,65.0
842,818.0,Rocco Basilico,3.5,33.0,Italy,Eyeglasses,Fashion & Retail,33.0
843,818.0,Patrick Lee,3.5,81.0,Hong Kong,Paper,Manufacturing,81.0
844,818.0,Michael Xie,3.5,54.0,United States,Cybersecurity,Technology,54.0
845,818.0,Paola Del Vecchio,3.5,61.0,Italy,Eyeglasses,Fashion & Retail,61.0
846,818.0,Vivek Chaand Sehgal,3.5,66.0,Australia,Auto parts,Automotive,66.0
847,818.0,Marisa Del Vecchio,3.5,64.0,Italy,Eyeglasses,Fashion & Retail,64.0
848,818.0,Karin Sartorius-Herbst,3.5,65.0,Germany,Biopharmaceuticals,Healthcare,65.0
849,818.0,Walter P.J. Droege,3.5,70.0,Germany,Investing,Finance & Investments,70.0
850,818.0,Scott Shleifer,3.5,45.0,United States,Private equity,Finance & Investments,45.0
851,852.0,Alessandra Garavoglia,3.4,63.0,Italy,Spirits,Food & Beverage,63.0
852,852.0,Yi Zheng,3.4,52.0,China,Software,Technology,52.0
853,852.0,Laurence Graff & family,3.4,84.0,United Kingdom,Diamond jewelry,Fashion & Retail,84.0
854,852.0,Eric Yuan & family,3.4,53.0,United States,Zoom Video Communications,Technology,53.0
855,852.0,"Amos Hostetter, Jr.",3.4,86.0,United States,Cable television,Media & Entertainment,86.0
856,852.0,Charles Zegar,3.4,75.0,United States,Bloomberg LP,Media & Entertainment,75.0
857,852.0,Acharya Balkrishna,3.4,50.0,India,Consumer goods,Food & Beverage,50.0
858,852.0,Leena Tewari,3.4,65.0,India,Pharmaceuticals,Healthcare,65.0
859,852.0,Ramon Ang,3.4,69.0,Philippines,Diversified,Food & Beverage,69.0
860,852.0,Herb Simon,3.4,88.0,United States,Real estate,Real Estate,88.0
861,852.0,Igor Altushkin,3.4,52.0,Russia,Metals,Metals & Mining,52.0
862,852.0,J. Joe Ricketts & family,3.4,81.0,United States,TD Ameritrade,Finance & Investments,81.0
863,852.0,Somphote Ahunai,3.4,55.0,Thailand,Renewable energy,Energy,55.0
864,852.0,Bob Parsons,3.4,72.0,United States,Web hosting,Technology,72.0
865,852.0,William Ackman,3.4,56.0,United States,Hedge funds,Finance & Investments,56.0
866,852.0,Hiroshi Mikitani,3.4,58.0,Japan,Online retail,Fashion & Retail,58.0
867,852.0,John Middleton,3.4,68.0,United States,Tobacco,Food & Beverage,68.0
868,852.0,William Lauder,3.4,62.0,United States,Estee Lauder,Fashion & Retail,62.0
869,852.0,Steven Klinsky,3.4,66.0,United States,Investments,Finance & Investments,66.0
870,852.0,"Robert ""Woody"" Johnson",3.4,75.0,United States,"Johnson & Johnson, sports",Sports,75.0
871,852.0,Richard Branson,3.4,72.0,United Kingdom,Virgin,Diversified,72.0
872,852.0,Hans Peter Wild,3.4,81.0,Switzerland,Flavorings,Food & Beverage,81.0
873,852.0,Markus Blocher,3.4,52.0,Switzerland,Chemicals,Manufacturing,52.0
874,852.0,Stefan von Holtzbrinck,3.4,59.0,Germany,Publishing,Media & Entertainment,59.0
875,852.0,Cho Jung-ho,3.4,64.0,South Korea,Finance,Finance & Investments,64.0
876,852.0,Wu Guanjiang & family,3.4,54.0,China,Pharmaceuticals,Healthcare,54.0
877,878.0,Arnon Milchan,3.3,78.0,Israel,Movie making,Media & Entertainment,78.0
878,878.0,Akio Nitori,3.3,79.0,Japan,Home furnishings,Fashion & Retail,79.0
879,878.0,Julio Ponce Lerou,3.3,77.0,Chile,Fertilizer,Metals & Mining,77.0
880,878.0,John Gandel,3.3,88.0,Australia,Shopping malls,Real Estate,88.0
881,878.0,Carl Thoma,3.3,74.0,United States,Investments,Finance & Investments,74.0
882,878.0,Fu Liquan & family,3.3,55.0,China,Surveillance equipment,Technology,55.0
883,878.0,Jeffrey Talpins,3.3,48.0,United States,Hedge fund,Finance & Investments,48.0
884,878.0,Walter Frey,3.3,79.0,Switzerland,Car dealerships,Automotive,79.0
885,878.0,Nik Storonsky,3.3,38.0,United Kingdom,Fintech,Finance & Investments,38.0
886,878.0,Walter Faria,3.3,68.0,Brazil,Beer,Food & Beverage,68.0
887,878.0,Stephen Smith,3.3,71.0,Canada,Finance and investments,Finance & Investments,71.0
888,878.0,Bennett Dorrance,3.3,77.0,United States,Campbell Soup,Food & Beverage,77.0
889,878.0,Gil Shwed,3.3,54.0,Israel,Software,Technology,54.0
890,878.0,Chen Shibin,3.3,56.0,China,Quartz products,Manufacturing,56.0
891,878.0,Neil Shen,3.3,55.0,Hong Kong,Venture capital,Finance & Investments,55.0
892,878.0,Bill Austin,3.3,81.0,United States,Hearing aids,Manufacturing,81.0
893,878.0,Naguib Sawiris,3.3,68.0,Egypt,Telecom,Telecom,68.0
894,878.0,John Arnold,3.3,49.0,United States,Hedge funds,Finance & Investments,49.0
895,878.0,Phil Ruffin,3.3,88.0,United States,"Casinos, real estate",Diversified,88.0
896,878.0,Mohed Altrad,3.3,75.0,France,"Scaffolding, cement mixers",Construction & Engineering,75.0
897,878.0,Rodger Riney & family,3.3,77.0,United States,Discount brokerage,Finance & Investments,77.0
898,878.0,Kwek Leng Beng,3.3,82.0,Singapore,Diversified,Diversified,82.0
899,878.0,Xue Hua,3.3,53.0,China,Agribusiness,Manufacturing,53.0
900,878.0,Peter Gilgan,3.3,72.0,Canada,Homebuilding,Construction & Engineering,72.0
901,878.0,Todd Wanek,3.3,59.0,United States,Furniture,Manufacturing,59.0
902,878.0,Pablo Legorreta,3.3,59.0,United States,Investments,Finance & Investments,59.0
903,878.0,Takao Yasuda,3.3,73.0,Japan,Retail,Fashion & Retail,73.0
904,905.0,Karen Virginia Beckmann Legoretta,3.2,53.0,Mexico,Tequila,Food & Beverage,53.0
905,905.0,Luciano Hang,3.2,60.0,Brazil,Department stores,Fashion & Retail,60.0
906,905.0,Klaus-Peter Schulenberg,3.2,71.0,Germany,Ticketing service,Service,71.0
